_date,total_clones,unique_clones
2023-11-06,94,8
2023-11-07,156,9
2023-11-08,145,13
2023-11-09,93,11
2023-11-10,104,5
2023-11-11,2,2
2023-11-12,3,2
2023-11-13,185,9
2023-11-14,171,11
2023-11-15,146,38
2023-11-16,205,11
2023-11-17,87,10
2023-11-18,13,3
2023-11-19,1,1
2023-11-20,189,12
2023-11-21,120,34
2023-11-22,225,64
2023-11-23,270,26
2023-11-24,83,17
2023-11-25,5,5
2023-11-26,2,2
2023-11-27,194,30
2023-11-28,186,25
2023-11-29,243,22
2023-11-30,451,20
2023-12-01,247,24
2023-12-02,10,9
2023-12-03,12,2
2023-12-04,195,38
2023-12-05,106,23
2023-12-06,235,18
2023-12-07,228,24
2023-12-08,333,23
2023-12-09,22,11
2023-12-10,1,1
2023-12-11,238,35
2023-12-12,88,45
2023-12-13,232,31
2023-12-14,229,40
2023-12-15,327,26
2023-12-16,26,17
2023-12-17,44,24
2023-12-18,111,39
2023-12-19,194,34
2023-12-20,100,51
2023-12-21,213,12
2023-12-22,248,17
2023-12-23,12,12
2023-12-24,1,1
2023-12-25,207,75
2023-12-26,210,14
2023-12-27,167,25
2023-12-28,191,11
2023-12-29,111,11
2023-12-30,6,5
2023-12-31,4,3
2024-01-01,29,12
2024-01-02,166,32
2024-01-03,103,22
2024-01-04,203,34
2024-01-05,173,23
2024-01-06,6,5
2024-01-07,1,1
2024-01-08,137,29
2024-01-09,155,21
2024-01-10,202,19
2024-01-11,84,12
2024-01-12,105,13
2024-01-13,44,5
2024-01-14,2,2
2024-01-15,196,26
2024-01-16,121,29
2024-01-17,136,29
2024-01-18,93,22
2024-01-19,78,11
2024-01-20,3,3
2024-01-21,5,3
2024-01-22,202,15
2024-01-23,146,16
2024-01-24,91,14
2024-01-25,91,7
2024-01-26,141,16
2024-01-27,2,2
2024-01-28,14,2
2024-01-29,182,9
2024-01-30,340,12
2024-01-31,105,16
2024-02-01,153,10
2024-02-02,102,11
2024-02-03,6,5
2024-02-04,142,8
2024-02-05,233,21
2024-02-06,92,19
2024-02-07,1,1
2024-02-08,6,5
2024-02-09,2,2
2024-02-10,3,3
2024-02-11,3,2
2024-02-12,44,10
2024-02-13,32,14
2024-02-14,13,11
2024-02-15,23,11
2024-02-16,8,3
2024-02-17,2,2
2024-02-18,1,1
2024-02-19,127,19
2024-02-20,164,30
2024-02-21,246,20
2024-02-22,99,15
2024-02-23,33,13
2024-02-24,4,4
2024-02-26,94,15
2024-02-27,115,14
2024-02-28,10,5
2024-02-29,80,18
2024-03-01,30,8
2024-03-02,5,4
2024-03-03,1,1
2024-03-04,158,13
2024-03-05,94,10
2024-03-06,92,11
2024-03-07,171,12
2024-03-08,55,11
2024-03-09,4,3
2024-03-10,1,1
2024-03-11,141,13
2024-03-12,107,12
2024-03-13,120,16
2024-03-14,76,8
2024-03-15,112,7
2024-03-16,2,2
2024-03-17,1,1
2024-03-18,221,16
2024-03-19,143,14
2024-03-20,128,11
2024-03-21,124,16
2024-03-22,97,14
2024-03-23,5,5
2024-03-24,1,1
2024-03-25,177,27
2024-03-26,122,16
2024-03-27,136,14
2024-03-28,249,19
2024-03-29,49,4
2024-03-30,2,2
2024-03-31,2,2
2024-04-01,185,11
2024-04-02,94,10
2024-04-03,142,14
2024-04-04,11,9
2024-04-05,17,3
2024-04-06,2,2
2024-04-07,23,2
2024-04-08,37,13
2024-04-09,219,13
2024-04-10,72,13
2024-04-11,99,9
2024-04-12,126,15
2024-04-13,5,4
2024-04-15,103,10
2024-04-16,320,15
2024-04-17,239,15
2024-04-18,175,27
2024-04-19,70,9
2024-04-21,1,1
2024-04-22,52,10
2024-04-23,67,11
2024-04-24,97,13
2024-04-25,92,11
2024-04-26,280,17
2024-04-27,3,3
2024-04-28,53,6
2024-04-29,119,11
2024-04-30,127,11
2024-05-01,108,8
2024-05-02,79,14
2024-05-03,7,5
2024-05-04,2,2
2024-05-06,158,14
2024-05-07,54,9
2024-05-08,82,13
2024-05-09,148,10
2024-05-10,330,24
2024-05-11,181,10
2024-05-12,1,1
2024-05-13,321,23
2024-05-14,47,7
2024-05-15,55,14
2024-05-16,108,8
2024-05-17,196,11
2024-05-18,1,1
2024-05-19,1,1
2024-05-20,81,11
2024-05-21,69,10
2024-05-22,14,10
2024-05-23,109,18
2024-05-24,8,6
2024-05-25,5,4
2024-05-26,5,2
2024-05-27,25,20
2024-05-28,77,27
2024-05-29,160,36
2024-05-30,14,6
2024-05-31,9,4
2024-06-01,103,4
2024-06-02,2,2
2024-06-03,291,42
2024-06-04,199,41
2024-06-05,116,16
2024-06-06,149,25
2024-06-07,156,45
2024-06-08,5,5
2024-06-09,9,5
2024-06-10,54,37
2024-06-11,44,34
2024-06-12,178,47
2024-06-13,160,39
2024-06-14,42,15
2024-06-15,1,1
2024-06-16,1,1
2024-06-17,127,7
2024-06-18,83,20
2024-06-19,20,15
2024-06-20,20,17
2024-06-21,91,16
2024-06-22,3,2
2024-06-23,4,4
2024-06-24,81,14
2024-06-25,228,8
2024-06-26,126,8
2024-06-27,76,6
2024-06-28,5,4
2024-06-29,1,1
2024-06-30,4,3
2024-07-01,109,10
2024-07-02,67,11
2024-07-03,22,6
2024-07-04,21,5
2024-07-05,6,6
2024-07-06,1,1
2024-07-07,2,2
2024-07-08,26,5
2024-07-09,3,3
2024-07-10,4,4
2024-07-11,8,6
2024-07-12,22,4
2024-07-15,51,6
2024-07-16,56,5
2024-07-17,125,10
2024-07-18,6,4
2024-07-19,5,4
2024-07-22,7,7
2024-07-23,75,9
2024-07-24,6,3
2024-07-25,3,3
2024-07-26,127,4
2024-07-27,1,1
2024-07-29,166,6
2024-07-30,65,6
2024-07-31,2,2
2024-08-01,95,6
2024-08-02,11,7
2024-08-03,1,1
2024-08-04,1,1
2024-08-05,7,5
2024-08-06,37,6
2024-08-07,2,2
2024-08-08,68,6
2024-08-09,217,13
2024-08-10,3,3
2024-08-12,24,8
2024-08-13,30,5
2024-08-14,9,6
2024-08-15,4,4
2024-08-16,2,2
2024-08-17,2,2
2024-08-18,2,2
2024-08-19,29,8
2024-08-20,5,4
2024-08-21,47,6
2024-08-22,54,9
2024-08-23,12,9
2024-08-24,1,1
2024-08-25,2,2
2024-08-26,6,5
2024-08-27,56,6
2024-08-28,118,7
2024-08-29,26,9
2024-08-30,23,4
2024-08-31,5,5
2024-09-01,92,3
2024-09-02,52,10
2024-09-03,9,6
2024-09-04,3,2
2024-09-05,7,5
2024-09-06,443,14
2024-09-07,3,2
2024-09-08,4,3
2024-09-09,611,16
2024-09-10,323,7
2024-09-11,46,9
2024-09-12,10,4
2024-09-13,9,6
2024-09-14,4,3
2024-09-15,2,1
2024-09-16,27,8
2024-09-17,169,9
2024-09-18,204,7
2024-09-19,166,8
2024-09-20,47,18
2024-09-21,4,3
2024-09-22,12,11
2024-09-23,101,19
2024-09-24,47,13
2024-09-25,11,9
2024-09-26,25,22
2024-09-27,18,13
2024-09-28,2,1
2024-09-29,2,1
2024-09-30,44,10
2024-10-01,113,6
2024-10-02,103,9
2024-10-03,75,10
2024-10-04,5,3
2024-10-05,4,3
2024-10-06,3,2
2024-10-07,14,12
2024-10-08,46,14
2024-10-09,23,7
2024-10-10,25,9
2024-10-11,40,8
2024-10-12,2,1
2024-10-13,3,2
2024-10-14,13,8
2024-10-15,11,6
2024-10-16,13,7
2024-10-17,102,6
2024-10-18,10,6
2024-10-19,8,4
2024-10-20,6,3
2024-10-21,84,5
2024-10-22,18,1
2024-10-23,6,4
2024-10-24,8,7
2024-10-25,101,9
2024-10-26,4,3
2024-10-27,3,2
2024-10-28,16,10
2024-10-29,48,11
2024-10-30,7,5
2024-10-31,7,5
2024-11-01,35,3
2024-11-02,2,1
2024-11-03,4,3
2024-11-04,82,11
2024-11-05,11,7
2024-11-06,8,6
2024-11-07,6,5
2024-11-08,45,8
2024-11-09,3,2
2024-11-10,3,2
2024-11-11,10,8
2024-11-12,13,11
2024-11-13,9,6
2024-11-14,29,5
2024-11-15,60,5
2024-11-16,3,2
2024-11-17,3,2
2024-11-18,36,10
2024-11-19,12,8
2024-11-20,12,10
2024-11-21,17,13
2024-11-22,41,4
2024-11-23,8,7
2024-11-24,10,9
2024-11-25,95,17
2024-11-26,30,4
2024-11-27,50,9
2024-11-28,30,6
2024-11-29,37,4
2024-11-30,6,4
2024-12-01,2,1
2024-12-02,90,12
2024-12-03,24,7
2024-12-04,11,5
2024-12-05,70,4
2024-12-06,240,7
2024-12-07,7,5
2024-12-08,3,2
2024-12-09,41,7
2024-12-10,45,5
2024-12-11,33,4
2024-12-12,72,6
2024-12-13,191,17
2024-12-14,4,3
2024-12-15,3,2
2024-12-16,157,8
2024-12-17,29,8
2024-12-18,98,5
2024-12-19,5,4
2024-12-20,66,6
2024-12-21,16,2
2024-12-22,2,1
2024-12-23,101,5
2024-12-24,31,3
2024-12-25,4,2
2024-12-26,5,3
2024-12-27,16,2
2024-12-28,3,2
2024-12-29,2,1
2024-12-30,11,6
2024-12-31,4,2
2025-01-01,5,4
2025-01-02,95,3
2025-01-03,33,4
2025-01-04,3,2
2025-01-05,3,2
2025-01-06,10,6
2025-01-07,387,11
2025-01-08,68,8
2025-01-09,314,11
2025-01-10,53,7
2025-01-11,4,3
2025-01-12,2,1
2025-01-13,113,9
2025-01-14,160,9
2025-01-15,172,13
2025-01-16,163,9
2025-01-17,39,7
2025-01-18,3,1
2025-01-19,3,1
2025-01-20,102,9
2025-01-21,71,6
2025-01-22,130,10
2025-01-23,128,6
2025-01-24,214,11
2025-01-25,13,4
2025-01-26,3,1
2025-01-27,149,8
2025-01-28,233,9
2025-01-29,119,7
2025-01-30,222,17
2025-01-31,217,19
2025-02-01,78,16
2025-02-02,8,6
